Server Name;Disk Label;Used Human;Total Size Human;Used Perc Human;Used;Free;Total Size
mailserver1;/domino/notesdata;60.99GB;159.92GB;;65484001280.0;1.06226614272e+11;1.71710615552e+11
mailserver1;/domino/notesdata/daos;270.08GB;549.73GB;;2.89994358784e+11;3.00271095808e+11;5.90265454592e+11
mailserver1;/domino/notesdata/fulltext;194.26GB;229.90GB;;2.08579989504e+11;38271582208.0;2.46851571712e+11
mailserver1;/domino/notesdata/logdir;3.72GB;149.92GB;;3993673728.0;1.56984766464e+11;1.60978440192e+11
mailserver1;/domino/notesdata/mail;429.19GB;1.46TB;;4.608366265e+11;1.1489687183e+12;1.6098053448e+12
mailserver1;/opt;5.28GB;49.99GB;;5672742912.0;48003862528.0;53676605440.0
mailserver1;/var/log;1.83GB;9.87GB;;1962250240.0;8638853120.0;10601103360.0
mailserver2;/domino/notesdata;68.65GB;159.92GB;;73716985856.0;97993629696.0;1.71710615552e+11
mailserver2;/domino/notesdata/daos;452.88GB;1023.50GB;;4.86277648428e+11;6.12692918272e+11;1.0989705667e+12
mailserver2;/domino/notesdata/fulltext;346.42GB;849.63GB;;3.71962568704e+11;5.40316381184e+11;9.12278949888e+11
mailserver2;/domino/notesdata/logdir;928.30MB;149.92GB;;973389824.0;1.60005050368e+11;1.60978440192e+11
mailserver2;/domino/notesdata/mail;705.45GB;1.95TB;;7.574756721e+11;1.3889384407e+12;2.1464141128e+12
mailserver2;/opt;5.28GB;49.99GB;;5670514688.0;48006090752.0;53676605440.0
mailserver2;/var/log;2.52GB;24.87GB;;2705174528.0;24002056192.0;26707230720.0
